group,CD197,CD45RA,CD16,CD38,CD25,CD94
healthy,-0.270107074029226,-0.212975090371332,-0.353709021015251,-0.47997396714899,-0.142089058444317,-0.212323232150035
healthy,-0.117787328307795,-0.173492703789277,-0.0558855113677388,-0.444202342427128,-0.0653822816331902,0.558469006183523
healthy,-0.0773831656293369,-0.299004813209542,-0.505375172292294,-0.225273325131702,-0.12463628822016,0.0944761103953703
healthy,-0.294593171537755,-0.155977079256397,-0.369750829279221,0.0041810793827881,-0.503530187750865,-0.198521674056651
healthy,-0.124913686998937,-0.12231917206436,-0.419552620523016,0.0915782135186768,-0.123149336579165,-0.193989632875906
moderate,-0.268097012062459,-0.207700204444278,-0.314611461693033,-0.156426303499856,0.0231813750618119,0.0096297457828139
moderate,-0.137759762145108,-0.256760500294901,-0.164412493045354,-0.219193186406199,-0.155451731949045,0.0339624463659552
moderate,-0.0184067545876326,0.158342477152193,0.539156029087711,-0.211689687323166,-0.202740681507595,-0.137366227116696
severe,-0.109425930392103,-0.216696379556549,-0.580656051825585,-0.19741591866571,-0.12904763448483,-0.160282257934299
severe,0.42877924567829,0.44118892193185,0.141925256385019,0.3085985266126,0.22688475294657,0.0300295045489449
severe,0.204554609604082,-0.158109814102575,0.229451084407686,0.061910299047118,0.129253258060381,-0.262221743086755
severe,-0.242332417885937,-0.0566464845738704,-0.29917778518745,0.199596470987215,-0.141273326716719,-0.24577900912448
