group,CD19,CD20,CD95,HLA,CD11c,CD86,CD27,CD38
healthy,-0.310292677553676,0.164677477817152,0.0678218466474549,-0.491819613111565,0.0401262893145181,0.0826854786418405,-0.292137637540093,0.650734732470439
healthy,-0.0487656087110475,-0.115878450751947,0.109384171766943,-0.116664781579895,0.268170152074192,0.0848091793224959,0.0923646721676055,0.245342481893175
healthy,-0.153245907408483,0.384548423044076,0.311456134375203,-0.168215958536811,0.295308811021653,0.158551040454385,0.315080700274775,-0.265109190735267
healthy,-0.113586689769915,-0.230568375583466,-0.247250516458307,-0.499464888490882,-0.529072721915781,-0.369827695841145,0.0632000085856141,0.138416771547851
healthy,0.102145899012622,0.349263233565959,0.0211961265924742,0.0678860833552093,0.123558029776244,-0.121447965331432,-0.0669227250337161,-0.501418671977739
moderate,-0.122508639820466,-0.2404325143541,0.148268638502178,-0.155472022334257,0.0984352436658758,0.100013218300178,0.129164684858935,-0.224458303045992
moderate,0.523773725571586,0.728802446835155,0.0626709092373635,0.485100357700037,0.22638014590844,-0.0119808586277868,-0.14232985481397,-0.720623496781508
moderate,0.361595640845206,0.57123178294761,-0.452004618152913,0.515279115468421,-0.0424831149157999,-0.374301127113489,-0.689419965472115,-0.683067867577931
severe,-0.246781144875809,-0.282435673889377,-0.0293946451690648,-0.556205326408331,-0.0258407812463303,-0.0170063491514312,0.0441799193541513,0.0346685606344646
severe,-0.399371216204239,-0.763182430737186,-0.15677813104125,-0.544903124821788,-0.303143578768465,-0.116824874298809,-0.047450249145195,0.546781864591621
severe,-0.271744845973479,-0.814674114486905,0.266285077722935,-0.285459765011914,-0.0730111400523375,0.309163045179477,0.29378909384544,0.820647766383681
severe,0.464091916272425,0.832780545594594,-0.523452234674465,0.110665505159265,0.268697927764794,-0.584554967949319,-0.665836278507071,-0.903007190252643
