group,CD19,CD20,CD95,HLA,CD1c,CD86,CD27,CD38
healthy,0.236321076232223,0.732257656186876,0.0171970648454196,-0.0398864642260713,0.175844461872972,-0.0149353134999715,-0.309775314849815,-0.262953310620124
healthy,0.0153242187960031,0.152644598294747,-0.205284996927242,0.237691666765596,0.0755587235417201,-0.0443535799626717,-0.436858468736771,-0.305703846981687
healthy,-0.135093201387202,-0.284630078718649,0.0445974301667237,0.0746598459689391,-0.571339698159684,0.17926415014029,-0.326037371896966,0.213124859574894
healthy,-0.0816879101255525,0.0243041745394906,-0.450708351871288,-0.188264760293558,0.0748506584081988,-0.268257719135254,-0.425647068968317,-0.248953259127947
healthy,0.19414812136507,0.182558032540666,-0.652563352070131,0.228735025549548,0.0146719887952872,-0.407312305506782,-0.554391219224641,0.08728336283689
moderate,0.112072097375072,0.382375608288143,-0.339352320114012,0.206489876298691,0.0888723366948018,-0.189589980470315,-0.356833504404036,-0.617799195215872
moderate,0.562798835680275,0.813261791895183,-0.153488931879408,0.594187166684751,0.128180400690752,-0.296527966638198,-0.322214966371466,-0.809226322350207
moderate,0.574905233102296,0.82423330570679,-0.394292013237945,0.582554320697444,0.234566713376138,-0.421367213621724,-0.603416206609401,-0.845430415169839
severe,0.362206176184717,0.839916604427957,-0.161537754480424,0.596199076620628,0.175258740223363,-0.346381872724956,-0.299645568640887,-0.713748647319755
severe,-0.458901631970661,-0.772036687634143,-0.116681659880441,-0.490061667935407,-0.222363087793503,-0.0773097477978747,0.0031111868707461,0.645218658720014
severe,-0.367036329155416,-0.717344601345037,0.257527730526555,-0.262048043952686,-0.011705471351816,0.325063710893741,0.326227516321565,0.807092222413975
severe,0.48801310606587,0.805000322974982,-0.575806905285481,-0.0465994413280385,0.320476484759119,-0.609981007607405,-0.602199172003451,-0.899004868538336
