group,CD19,CD20,CD95,HLA,CD11c,CD86,CD27,CD38
healthy,0.414952075145021,0.7331168244941,0.0635182733979707,0.389671035312093,0.0578091717126808,-0.0206973794869009,0.046090700548429,-0.125748675919338
healthy,0.353262434190915,0.260966304689193,-0.0375100018372556,0.226129840889923,0.0186203373015591,-0.0323473720191846,0.130459546053782,-0.0557683200444156
healthy,0.263056150679558,0.0758861095906602,0.108023664389041,0.125568739334842,0.112123474319214,0.278889585250181,0.140363257375109,-0.324111951511421
healthy,0.396236911654953,0.497878687377221,0.134870720929602,0.576762987460034,0.503732240486808,0.499482447872188,0.124173471782636,-0.23666701857023
healthy,0.509334354124284,0.33361077814169,-0.115315915324919,0.391749479087151,0.0021520664292836,-0.0848438105924887,0.232234436197038,-0.138446015940468
moderate,0.261893060763409,0.406557360720024,-0.305612068174428,0.25290403617427,-0.0310246522019989,-0.176264831123846,-0.335600981374341,-0.552492095727461
moderate,0.129451163729244,0.0955845474813593,0.162982717298201,0.023674338899476,0.139804772018352,0.0372574717611502,0.274415876911018,0.308753458259242
moderate,0.64241662018676,0.824997301243017,-0.330362181522967,0.632330293186015,0.0318955729967603,-0.391480213210015,-0.544267826738832,-0.803285860815543
severe,0.46306115842591,0.811171744174088,-0.110199072816727,0.679854764605391,-0.0275289463094777,-0.290664050262577,-0.264137993919028,-0.675183713705366
severe,-0.282769051682878,-0.514423522245545,-0.0649622764294048,-0.384188642251701,-0.196221441069085,-0.0811113674365859,0.061786189777629,0.534626273912994
severe,0.22201056272098,0.831871266231967,-0.251194855188242,0.208137145265612,0.0534898009816734,-0.326043569796117,-0.281651584655135,-0.802207361042575
severe,0.515275284726389,0.805936732203191,-0.53377009946112,-0.0033639988829787,0.15335493382438,-0.555748208274208,-0.488799095591523,-0.821001090071337
