group,CD69,CD45RA,CD14,CD16,CD33,CD38
healthy,-0.518245696640746,0.0320158277861848,-0.525245367096061,0.337084292177911,-0.415520255578095,-0.386518436445658
healthy,-0.472298299228437,-0.0121644262622167,-0.526338848910886,0.313061516704612,-0.203205298978998,-0.311466148942228
healthy,0.294458458865092,0.0462417509714799,0.449812732532224,-0.278897864614814,0.347566899335694,0.51225978492918
healthy,-0.616824760033959,0.644988744812752,-0.62890342298187,0.669302535532189,-0.470515684343528,-0.427049759365471
healthy,-0.649407857173433,0.608636336761386,-0.629648700405907,0.60669633979292,-0.436508037188175,-0.283778120982333
moderate,-0.187213518077188,-0.257561827399493,-0.19090080225595,-0.342684949430657,-0.114206790888934,-0.165567622610847
moderate,0.204570012400079,0.138145737225902,0.151304444866127,-0.176921361004405,0.471775437841711,0.487664660440612
moderate,0.492573671300517,0.181546101462894,0.438523394864394,-0.322438968316315,0.603818553868901,0.666732497528094
severe,-0.117451284501515,0.172170357759931,-0.244989035640212,0.413277416813318,-0.0514759326564211,-0.18052075066444
severe,0.117199418042978,-0.059647682133471,0.395932972661976,-0.127391676585057,0.518308961657941,0.339982383011669
severe,-0.218565618115075,0.186237537697832,-0.489071556674822,-0.0078168169780388,0.265292017066537,0.473529469760767
severe,-0.563665027825325,0.27222079932144,-0.570010307646738,0.0082767539818187,-0.201784686414645,-0.105344415870614
