group,CD69,CD45RA,CD14,CD16,CD33,CD38
healthy,-0.15872943209705,-0.107728009941219,-0.1075458280172,-0.0401585625082808,-0.226793159287994,-0.0961928702907741
healthy,-0.387898936635521,0.0224110978229606,-0.519943439591271,0.103576363892777,-0.199512890591181,-0.233889828737378
healthy,0.379262348594446,-0.28390567424711,0.476951896037022,-0.563021731849281,0.30756198085674,0.43384106660124
healthy,0.204044608221583,-0.578058482172711,0.185390758176188,-0.304298804433461,-0.022241080165267,-0.109688531618376
healthy,-0.334157447166003,-0.28617721164244,-0.347293328654558,-0.203484941913525,-0.291951224856219,-0.424435211074047
moderate,-0.424592344396816,-0.385927790476645,-0.675840897019017,0.230552880241688,-0.548591175599287,-0.375882504732703
moderate,-0.481657164634252,-0.171120704713789,-0.692508792537154,-0.345734560937036,-0.206216288346125,-0.181759248317031
moderate,0.0896167351844934,0.0826599505008467,0.0100715623572521,-0.422218562604557,0.307450392060939,0.449356148109993
severe,-0.599826253471042,-0.228956953525811,-0.628413406340123,0.24454838619014,-0.657273177095828,-0.554780086217999
severe,-0.0525950516578504,0.189096933245791,-0.182093516220437,0.297496754639838,-0.392943575448259,-0.255314089865318
severe,-0.439475013182897,-0.0724935326717951,-0.439894277644598,-0.262163948051271,-0.267348300063644,-0.112550229150864
severe,-0.317471458697105,-0.114049528347214,-0.340765282629477,-0.309757173214138,-0.145699960403318,-0.106144128057169
